schema_name,component_name,model_id,component_type,component_type_value,component_expr,criteria_count
ReverseCA,amountinlocalcurrency,MATH,MATH,COST,amountinlocalcurrency,1
ReverseCA,costallocationparameterperc,MATH,MATH,COST,costallocationparameterperc,1
Bill_I,invoiceqty,MATH,MATH,COST,Qty,1
Bill_H,ExchangeRate,MATH,MATH,COST,ExchangeRate,1
Bill_H,AddlCharge,MATH,MATH,COST,AddlCharge,1
Bill_H,RoundOffValue,MATH,MATH,COST,RoundOffValue,1
PrevBill,Qty,MATH,MATH,COST,Qty,1
PrevBill,Rate,MATH,MATH,COST,Rate,1
PrevBill,AddlCharge,MATH,MATH,COST,AddlCharge,1
PrevBill,DiscountAmt,MATH,MATH,COST,Discount,1
PrevBill,TaxPercentage,MATH,MATH,COST,TaxPercentage,1
PrevBill,Basevalue,MATH,MATH,COST,Basevalue,1
PrevBill,TaxValue,MATH,MATH,COST,TaxValue,1
PrevBill,DocumentValue,MATH,MATH,COST,DocumentValue,1
PO&IP_Status,AwaitingApprovalQty,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}",1
PO&IP_Status,ActiveQty,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}",1
PO&IP_Status,ActualQty,MATH,MATH,COST,Qty-(ActiveQty + AwaitingApprovalQty),1
PO&IP_Status,Rate,MATH,MATH,COST,Rate,1
PO&IP_Status,AwaitingApprovalAddlCharge,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}",1
PO&IP_Status,ActiveAddlCharge,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}",1
PO&IP_Status,ActualAddlCharge,MATH,MATH,COST,AddlCharge-(AwaitingApprovalAddlCharge + ActiveAddlCharge),1
PO&IP_Status,AwaitingApprovalDiscountAmt,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}",1
PO&IP_Status,ActiveDiscountAmt,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}",1
PO&IP_Status,ActualDiscountAmt,MATH,MATH,COST,Discount-(AwaitingApprovalDiscountAmt + ActiveDiscountAmt),1
PO&IP_Status,Basevalue,MATH,MATH,COST,Basevalue,1
PO&IP_Status,AwaitingApprovalBaseValue,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}",1
PO&IP_Status,ActiveBaseValue,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}",1
PO&IP_Status,ActualBaseValue,MATH,MATH,COST,BaseValue-(AwaitingApprovalBaseValue + ActiveBaseValue),1
PO&IP_Status,AwaitingApprovalTaxValue,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}",1
PO&IP_Status,ActiveTaxValue,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}",1
PO&IP_Status,ActualTaxValue,MATH,MATH,COST,TaxValue-(AwaitingApprovalTaxValue + ActiveTaxValue),1
PO&IP_Status,AwaitingApprovalDocumentValue,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}",1
PO&IP_Status,ActiveDocumentValue,PrevBill,SUMFROMSCHEMA,COST,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}",1
PO&IP_Status,ActualDocumentValue,MATH,MATH,COST,DocumentValue-(AwaitingApprovalDocumentValue + ActiveDocumentValue),1
PO&IP_Status,amountinlocalcurrency,MATH,MATH,COST,amountinlocalcurrency,1
PO&IP_Status,TaxPercentage,MATH,MATH,COST,TaxPercentage,1
Bill_Item,headaddlcharge,Bill_H,SUMFROMSCHEMA,COST,"{\""interimid\"":\""interimid\""}",1
Bill_Item,TotalQty,Bill_I,SUMFROMSCHEMA,COST,"{\""interimid\"":\""interimid\""}",1
Bill_Item,ExchangeRate,Bill_H,FETCHFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\""}",1
Bill_Item,Qty,MATH,MATH,COST,Qty,1
Bill_Item,Rate,MATH,MATH,COST,Rate,1
Bill_Item,AddlCharge,MATH,MATH,COST,AddlCharge,1
Bill_Item,AddlCharge1,MATH,MATH,COST,Qty * headaddlcharge/TotalQty*1,1
Bill_Item,DiscountAmt,MATH,MATH,COST,Discount,1
Bill_Item,TaxPercentage,MATH,MATH,COST,TaxPercentage,1
Bill_Item,Basevalue,MATH,MATH,COST,Basevalue,1
