source_schema,source_class,source_component,ref_type,target_schema,target_column,filter_json
SC00002,PO&IP_Status,AwaitingApprovalQty,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}"
SC00002,PO&IP_Status,ActiveQty,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}"
SC00002,PO&IP_Status,AwaitingApprovalAddlCharge,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}"
SC00002,PO&IP_Status,ActiveAddlCharge,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}"
SC00002,PO&IP_Status,AwaitingApprovalDiscountAmt,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}"
SC00002,PO&IP_Status,ActiveDiscountAmt,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}"
SC00002,PO&IP_Status,AwaitingApprovalBaseValue,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}"
SC00002,PO&IP_Status,ActiveBaseValue,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}"
SC00002,PO&IP_Status,AwaitingApprovalTaxValue,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Waiting For Approval""}}"
SC00002,PO&IP_Status,ActiveTaxValue,SUMFROMSCHEMA,PrevBill,,"{\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""documentnumber\"",""status"":{""equality"":""EQ"",""value"":""Active""}}"
